call_id,caller_age_days,calls_per_day,call_duration_sec,avg_call_duration_sec,unique_receivers_24h,receiver_block_rate,spam_reports_count,country_code_risk_score,night_call_ratio,sequential_dialing_score,graph_degree,previous_fraud_associations,reputation_score,fraud_label
CALL0000605,1499,7,392,621.6,19,20.88,1,32.15,38.25,24.1,32,4,64.55,0
CALL0000693,801,44,765,561.8,18,7.24,2,47.71,19.73,48.93,201,4,90.97,0
CALL0000663,461,43,102,405.2,3,9.35,4,22.94,31.08,9.71,189,3,69.1,0
CALL0000867,1016,28,85,411.8,15,25.33,0,44.8,29.31,15.53,55,0,92.2,0
CALL0000071,84,1472,103,9.1,127,73.07,84,40.56,47.08,46.67,541,36,27.96,1
CALL0000544,2420,47,659,283.5,3,22.88,0,26.62,12.43,19.5,116,0,74.22,0
CALL0000108,62,1254,34,8.3,203,70.25,86,53.6,97.45,66.22,555,26,24.67,1
CALL0000494,732,21,743,437.5,19,20.95,4,24.24,12.01,48.02,58,6,72.21,0
CALL0000591,1285,40,569,216.0,17,20.82,0,24.87,42.33,12.69,141,1,50.41,0
CALL0000742,373,3,153,467.0,18,15.61,1,31.85,24.48,39.43,69,0,59.2,0
CALL0000293,1927,46,698,521.3,7,24.17,5,10.39,23.77,34.93,291,5,98.21,0
CALL0000290,2179,23,468,87.0,10,10.1,1,39.89,9.31,6.01,166,0,85.63,0
CALL0000653,2594,13,236,66.8,4,8.28,1,42.26,20.16,38.06,126,6,80.55,0
CALL0000040,42,798,98,90.6,409,38.58,82,64.88,92.76,63.45,741,37,6.68,1
CALL0000590,2724,26,263,292.7,14,13.55,7,8.8,31.83,16.11,95,7,95.37,0
CALL0000308,1878,45,864,364.1,10,14.3,6,54.0,1.64,9.77,293,3,50.47,0
CALL0000680,1912,26,688,683.5,15,1.01,0,5.61,12.65,31.49,280,0,85.15,0
CALL0000067,9,1247,60,70.4,395,92.07,58,50.94,61.88,54.4,215,39,46.24,1
CALL0000276,2269,37,612,246.6,12,5.07,4,21.45,20.11,8.0,220,7,67.59,0
CALL0000068,90,286,108,8.2,95,56.49,83,62.65,30.08,89.02,363,38,40.3,1
CALL0000319,2305,2,472,164.1,8,7.17,1,20.69,28.72,19.41,78,1,55.31,0
CALL0000549,1859,6,105,285.7,3,11.74,7,50.42,13.46,24.79,100,4,80.11,0
CALL0000999,2394,3,404,670.5,16,12.96,2,37.57,39.69,29.73,156,6,54.14,0
CALL0000715,1927,20,775,342.5,17,21.08,7,4.42,23.12,29.49,208,6,75.91,0
CALL0000754,619,29,397,308.0,13,26.04,7,39.28,1.11,1.56,138,3,92.37,0
CALL0000328,3368,8,183,141.8,3,23.09,1,47.86,29.46,10.58,194,5,96.17,0
CALL0000383,2507,32,70,182.9,13,3.87,0,35.84,6.05,32.09,91,2,84.77,0
CALL0000452,537,41,474,292.1,7,28.44,7,3.58,20.59,41.99,85,1,52.74,0
CALL0000523,1765,38,573,478.2,9,14.61,2,27.05,2.51,7.18,24,5,67.44,0
CALL0000219,2201,28,875,444.5,3,6.26,0,10.22,37.27,40.18,149,2,58.08,0
CALL0000788,1901,17,474,241.1,6,3.46,4,37.68,35.1,40.58,274,3,83.88,0
CALL0000437,675,25,419,676.2,11,23.96,0,16.01,24.43,13.73,54,1,58.71,0
CALL0000765,2288,27,733,566.0,19,13.81,3,24.09,32.81,22.12,248,2,88.06,0
CALL0000089,106,362,17,47.4,75,90.5,63,56.36,92.64,78.38,614,30,40.32,1
CALL0000064,60,243,97,62.2,182,81.59,86,67.25,92.92,97.74,453,27,44.98,1
CALL0000827,2023,27,251,68.1,1,1.75,1,48.24,30.41,24.63,141,6,54.19,0
CALL0000717,1717,22,352,615.9,5,12.33,1,47.37,22.42,37.14,11,7,69.53,0
CALL0000352,1104,8,102,212.3,14,29.11,3,20.54,32.44,44.04,19,6,77.06,0
CALL0000937,1577,20,479,87.1,18,9.35,6,49.4,30.55,48.9,218,6,80.26,0
CALL0000257,792,41,247,335.8,10,6.43,1,44.37,38.97,25.85,217,6,91.69,0
CALL0000636,2011,11,823,422.5,8,21.57,2,41.45,12.59,18.95,61,7,75.13,0
CALL0000645,1629,5,782,274.8,6,7.5,4,44.58,18.26,18.92,25,3,72.06,0
CALL0000555,3259,7,314,363.4,12,28.87,6,44.15,16.38,33.2,121,0,64.64,0
CALL0000960,2682,14,707,283.1,9,2.88,2,34.23,19.22,22.92,134,6,82.26,0
CALL0000169,78,576,69,25.5,278,98.78,84,94.88,32.03,70.4,677,28,51.74,1
CALL0000918,2885,24,236,539.8,1,17.44,7,11.41,33.74,4.35,162,5,78.86,0
CALL0000529,623,25,206,659.9,15,1.6,4,21.71,12.83,36.51,54,0,78.48,0
CALL0000824,3459,46,268,58.9,12,24.81,2,28.17,0.16,33.18,151,3,79.34,0
CALL0000986,3411,10,684,280.6,14,4.99,2,31.58,20.91,19.96,33,2,70.87,0
CALL0000817,1881,29,347,79.2,1,3.94,3,16.51,7.67,19.47,265,7,50.99,0
CALL0000087,6,250,30,49.8,110,69.32,100,82.22,82.24,57.03,499,15,11.22,1
CALL0000433,1449,11,519,625.2,1,21.05,5,23.34,21.94,11.5,175,7,50.25,0
CALL0000185,63,290,35,56.5,201,60.41,84,51.39,73.65,48.83,932,12,8.74,1
CALL0000979,2311,13,487,90.3,3,8.06,2,42.38,9.47,44.39,112,7,89.18,0
CALL0000535,861,28,242,275.9,15,0.75,4,12.76,22.23,48.81,216,1,55.47,0
CALL0000295,2054,4,259,483.7,17,2.64,1,1.98,21.82,14.86,128,4,60.2,0
CALL0000893,2041,31,480,302.7,7,20.29,0,51.3,6.72,5.84,27,1,62.09,0
CALL0000426,1618,21,899,656.6,3,22.57,1,25.82,10.34,21.99,254,2,66.57,0
CALL0000714,596,17,664,112.0,6,1.92,0,14.3,39.2,3.58,217,3,89.12,0
CALL0000261,2275,30,46,244.6,12,25.75,5,9.18,33.67,28.38,105,6,92.24,0
CALL0000238,2552,3,420,267.9,9,3.67,0,14.15,30.05,46.85,175,6,72.72,0
CALL0000560,2052,36,701,585.4,2,4.37,7,53.96,19.98,8.67,177,0,73.51,0
CALL0000584,1821,13,528,280.5,16,2.83,4,53.24,31.25,32.28,114,0,50.35,0
CALL0000446,1898,42,678,337.8,18,29.3,1,4.23,42.04,28.47,159,0,85.96,0
CALL0000868,3128,12,395,272.8,4,13.2,6,11.65,40.05,5.93,108,1,95.47,0
CALL0000801,3233,19,763,442.0,10,19.21,6,16.49,36.5,8.01,119,2,73.64,0
CALL0000600,1692,22,147,151.9,8,25.61,4,41.77,8.95,20.17,217,0,93.8,0
CALL0000850,3467,45,421,503.6,5,13.53,7,19.02,15.21,25.54,99,1,96.18,0
CALL0000266,376,26,441,488.1,11,27.91,0,6.71,27.21,22.64,147,2,76.55,0
CALL0000996,1217,8,433,578.9,7,27.31,1,45.25,11.2,20.34,259,7,55.17,0
CALL0000530,3103,36,391,582.2,3,2.99,2,23.92,42.68,2.7,294,3,74.16,0
CALL0000056,51,500,52,6.7,54,54.76,91,87.43,44.06,49.58,937,37,9.76,1
CALL0000121,41,252,63,89.1,343,93.65,87,70.98,94.53,48.79,762,29,26.45,1
CALL0000216,3341,14,126,70.6,7,7.64,3,28.64,24.64,16.78,2,1,79.43,0
CALL0000026,38,417,57,34.7,284,34.37,65,78.15,95.16,72.93,840,11,32.03,1
CALL0000073,111,863,6,98.7,350,94.85,107,45.22,45.56,94.2,552,31,31.08,1
CALL0000045,62,954,86,57.8,401,81.14,68,70.82,51.52,97.41,248,25,44.88,1
CALL0000248,3449,22,433,199.1,13,23.33,1,14.96,24.06,36.0,193,5,75.36,0
CALL0000722,3439,37,861,370.1,5,24.37,3,36.39,15.5,16.84,172,3,89.7,0
CALL0000282,3415,8,237,143.7,4,22.89,0,50.67,35.3,28.46,96,5,73.99,0
CALL0000894,2509,42,394,206.2,10,6.26,5,50.05,3.39,34.77,60,5,70.66,0
CALL0000915,276,36,462,426.0,7,9.49,3,19.37,23.8,8.64,217,1,96.28,0
CALL0000811,1728,4,207,535.6,3,29.24,2,18.73,1.79,5.74,192,6,65.88,0
CALL0000245,2692,32,851,300.6,18,10.27,2,36.11,34.53,15.83,45,2,53.43,0
CALL0000823,1253,39,534,352.5,16,10.93,4,27.02,17.81,8.62,268,1,50.59,0
CALL0000322,646,13,537,368.3,19,2.34,4,45.65,15.17,2.8,281,7,61.06,0
CALL0000644,971,46,222,523.4,16,28.75,5,20.77,25.8,46.85,293,4,60.11,0
CALL0000159,99,1119,69,28.1,150,55.01,78,72.08,96.29,50.93,561,36,32.33,1
CALL0000978,2246,40,211,295.6,17,18.9,1,18.13,41.17,6.9,288,2,89.61,0
CALL0000430,2099,33,805,256.4,12,28.15,0,16.11,22.64,39.63,115,0,96.57,0
CALL0000942,3189,48,77,464.6,10,8.92,2,13.4,44.85,21.28,118,6,99.78,0
CALL0000463,3109,13,578,356.1,5,14.28,7,26.12,11.09,42.11,73,3,55.0,0
CALL0000310,2991,38,748,284.9,3,27.62,1,17.37,7.05,17.96,1,7,92.51,0
CALL0000698,517,43,780,683.0,2,11.06,1,14.56,27.39,12.67,113,3,99.58,0
CALL0000061,18,297,107,12.6,454,56.01,61,65.18,31.23,96.84,713,37,9.06,1
CALL0000885,642,39,305,603.2,3,10.55,1,5.61,11.89,20.87,138,5,61.15,0
CALL0000596,1258,11,588,477.8,19,16.05,1,42.09,7.66,39.77,16,3,82.63,0
CALL0000768,304,17,600,613.0,3,19.2,2,19.22,26.38,6.38,263,4,76.01,0
CALL0000650,393,14,280,559.1,10,9.7,2,51.57,7.99,15.34,142,2,82.72,0
CALL0000651,2207,10,794,222.9,1,15.83,6,17.65,26.91,7.97,134,0,74.8,0
CALL0000866,2642,4,246,482.3,1,1.56,6,12.62,23.15,6.6,136,1,52.27,0
CALL0000669,2340,13,627,633.7,14,7.32,6,38.42,14.0,6.38,228,3,80.82,0
CALL0000299,2638,11,137,399.7,5,8.37,5,36.83,11.19,11.64,90,7,87.33,0
CALL0000690,603,26,413,68.6,12,16.39,7,38.03,29.32,45.67,252,0,94.44,0
CALL0000315,2851,34,381,545.6,13,2.65,7,30.67,3.44,44.61,44,4,65.31,0
CALL0000311,2460,16,312,608.9,6,0.46,4,35.46,8.31,0.52,60,1,84.13,0
CALL0000362,2633,4,399,111.0,18,9.61,1,34.38,40.85,32.43,22,1,75.65,0
CALL0000480,323,45,851,254.0,1,1.25,1,7.81,29.82,17.39,16,7,54.84,0
CALL0000111,80,153,48,52.8,361,95.36,67,42.77,86.68,49.94,260,37,32.62,1
CALL0000990,675,4,783,319.6,1,29.57,7,48.65,13.69,19.47,268,0,79.99,0
CALL0000487,2763,36,783,590.1,4,17.5,6,30.12,2.21,5.13,20,2,71.65,0
CALL0000364,1047,23,83,648.5,11,1.78,1,30.47,24.08,9.0,39,7,96.2,0
CALL0000255,3262,12,598,543.5,18,19.1,6,19.94,8.7,21.63,30,6,64.87,0
CALL0000260,3625,30,231,262.1,5,16.84,0,21.16,16.1,45.31,148,1,69.63,0
CALL0000803,1436,7,679,424.0,1,29.93,1,9.63,29.9,6.72,81,7,78.97,0
CALL0000678,2075,35,442,65.4,15,6.41,1,49.97,9.56,35.17,28,7,63.12,0
CALL0000495,2474,28,889,332.0,19,2.59,0,18.3,40.69,34.69,93,0,99.88,0
CALL0000671,3000,31,454,305.5,15,21.51,5,38.77,29.99,26.3,22,4,66.85,0
CALL0000378,812,31,277,550.1,6,18.14,4,10.08,39.02,25.54,86,7,55.64,0
CALL0000527,2104,29,577,419.2,17,21.32,3,27.53,22.73,33.07,104,2,61.68,0
CALL0000846,3561,34,369,143.1,2,1.29,2,24.4,14.48,22.78,150,0,67.99,0
CALL0000138,8,787,47,91.2,62,70.8,106,90.28,63.07,68.27,410,26,43.37,1
CALL0000356,1327,28,829,565.2,4,8.63,3,15.99,23.32,0.22,87,4,75.06,0
CALL0000366,3124,18,448,239.4,18,27.39,3,5.4,18.51,47.03,170,2,70.7,0
CALL0000943,582,47,240,583.0,13,10.7,4,11.78,33.81,15.54,154,4,74.63,0
CALL0000750,1881,34,230,487.0,2,7.82,0,36.72,27.34,20.98,269,0,69.36,0
CALL0000949,1035,15,738,448.9,13,3.19,1,44.3,34.32,29.85,13,2,85.33,0
CALL0000830,1379,35,714,406.3,11,27.86,5,46.93,23.53,29.79,193,1,83.39,0
CALL0000657,1310,30,823,128.3,3,11.65,2,40.34,24.5,25.38,63,4,61.33,0
CALL0000200,36,953,29,90.5,124,31.87,66,84.47,89.2,48.36,178,28,24.74,1
CALL0000214,889,11,169,280.7,4,15.8,0,3.94,2.82,12.52,41,3,89.04,0
CALL0000409,446,19,557,131.6,11,4.0,6,9.87,20.68,1.74,13,4,99.48,0
CALL0000333,2926,39,691,168.8,7,1.68,0,22.03,41.55,25.23,264,3,60.71,0
CALL0000209,2843,33,41,422.2,2,21.48,0,54.27,16.36,18.96,260,2,75.0,0
CALL0000614,681,8,204,645.7,6,13.01,0,5.24,4.57,24.37,141,7,61.58,0
CALL0000079,35,963,99,75.6,170,66.81,79,45.41,97.92,60.57,307,14,25.39,1
CALL0000030,21,763,65,75.3,160,47.57,103,42.61,86.99,47.26,172,38,7.05,1
CALL0000536,2167,16,858,82.7,2,23.26,0,53.17,7.32,26.66,184,2,87.41,0
CALL0000696,2168,17,547,432.4,14,21.15,5,13.93,39.22,20.7,89,2,79.98,0
CALL0000558,1133,16,628,297.6,9,8.43,4,46.65,1.86,36.58,266,3,72.47,0
CALL0000837,3346,40,615,425.0,2,14.39,1,16.42,44.56,35.23,124,2,72.52,0
CALL0000597,978,15,787,95.6,17,12.23,0,39.5,34.24,9.14,44,6,83.54,0
CALL0000166,99,1295,58,77.1,489,40.26,108,49.46,67.49,46.63,498,32,15.02,1
CALL0000919,1723,2,797,617.4,11,5.08,3,11.32,43.41,32.54,201,7,84.39,0
CALL0000496,1536,40,50,156.9,16,25.9,1,49.96,14.5,40.09,221,2,91.68,0
CALL0000825,3635,28,224,103.0,8,21.07,2,18.06,5.5,42.64,207,6,75.02,0
CALL0000066,114,1324,53,9.3,61,46.02,79,40.01,42.8,41.03,897,29,27.82,1
CALL0000142,5,1498,62,61.7,443,85.4,94,83.38,81.36,70.86,242,10,18.05,1
CALL0000926,3436,47,882,338.0,13,4.41,3,51.93,4.31,36.06,42,5,55.01,0
CALL0000828,1674,4,90,460.4,4,12.86,4,51.69,18.84,48.78,96,6,84.01,0
CALL0000656,1992,3,445,497.2,17,1.57,2,6.5,21.89,19.04,226,1,87.79,0
CALL0000332,973,29,344,192.2,13,1.19,6,8.71,4.18,7.61,243,3,94.14,0
CALL0000665,482,33,853,154.1,16,12.39,4,30.2,18.77,44.9,104,0,85.97,0
CALL0000250,1094,3,821,224.6,6,5.54,5,22.72,10.93,12.92,65,2,65.62,0
CALL0000908,2893,25,530,311.8,15,21.13,3,22.21,28.96,21.9,276,2,56.31,0
CALL0000709,2012,47,362,573.7,16,25.76,6,41.2,29.32,18.32,252,6,73.42,0
CALL0000306,1083,32,338,532.1,3,22.14,2,46.5,5.98,15.89,98,4,65.56,0
CALL0000735,2849,8,443,315.5,18,8.31,6,44.37,25.67,9.55,61,4,67.19,0
CALL0000976,2411,16,540,430.0,1,20.35,5,52.17,4.03,27.11,227,5,80.45,0
CALL0000050,108,829,62,67.6,483,43.91,51,68.38,89.9,71.4,166,13,41.53,1
CALL0000897,1110,34,380,112.8,4,3.98,7,18.66,33.92,7.17,69,5,93.54,0
CALL0000003,93,1366,27,2.8,215,47.8,73,75.3,83.19,75.32,362,37,5.41,1
CALL0000545,3598,30,290,585.3,16,26.81,1,1.54,39.96,2.47,141,5,91.43,0
CALL0000351,2814,36,449,618.1,17,28.99,2,44.68,18.77,24.66,74,0,96.8,0
CALL0000905,323,4,528,578.1,12,17.4,0,5.2,22.57,40.2,236,5,70.81,0
CALL0000537,282,47,166,84.3,13,4.12,2,8.05,44.02,45.28,27,2,56.78,0
CALL0000345,2755,31,36,599.3,16,10.04,1,43.01,27.64,40.18,175,7,99.66,0
CALL0000995,757,37,463,89.9,8,23.44,4,1.38,19.2,20.72,297,2,91.85,0
CALL0000482,1167,34,865,226.6,18,29.37,3,15.52,36.89,48.99,160,3,72.53,0
CALL0000576,2581,40,691,514.6,3,29.0,7,5.07,15.92,34.1,46,7,88.07,0
CALL0000034,22,541,14,51.0,385,62.54,104,67.92,45.87,53.26,169,32,20.47,1
CALL0000032,76,1356,110,11.2,200,82.46,63,98.96,87.96,43.05,452,24,51.04,1
CALL0000232,2561,49,708,633.3,17,29.26,6,38.66,42.62,27.49,49,5,65.24,0
CALL0000964,2351,4,218,87.0,5,23.89,3,12.35,0.34,7.92,176,1,75.22,0
CALL0000193,101,117,67,22.1,278,48.68,58,47.58,70.91,58.42,582,23,15.52,1
CALL0000334,2014,39,589,586.7,15,25.04,1,52.39,31.05,40.1,10,0,81.64,0
CALL0000004,15,1209,106,10.3,384,41.79,72,67.12,95.36,63.4,696,21,36.32,1
CALL0000205,2036,6,493,398.4,6,22.48,1,21.1,28.93,35.69,57,2,50.92,0
CALL0000515,2805,17,90,351.6,7,23.42,7,53.32,1.15,34.33,78,4,63.46,0
CALL0000800,2198,26,635,436.3,9,8.33,0,54.96,23.83,2.68,168,4,92.94,0
CALL0000307,2461,34,831,370.2,19,1.2,6,28.05,27.08,48.66,120,5,81.83,0
CALL0000110,85,251,118,97.0,236,61.88,55,47.1,77.83,74.64,899,26,48.74,1
CALL0000431,2704,24,720,601.3,8,8.34,1,31.51,27.27,41.95,67,4,90.22,0
CALL0000078,47,1271,47,98.6,96,72.79,59,63.5,59.89,74.05,410,31,8.8,1
CALL0000085,4,740,114,90.7,368,81.33,66,57.52,79.81,84.39,111,30,22.08,1
CALL0000287,787,35,195,348.7,2,18.11,3,33.76,17.3,30.77,111,3,85.85,0
CALL0000083,50,437,16,56.3,399,51.51,72,40.2,57.29,91.12,732,39,54.55,1
CALL0000992,1407,23,122,478.8,10,7.38,2,41.65,7.21,45.74,70,3,88.97,0
CALL0000790,2135,34,296,547.5,8,7.8,5,54.61,37.35,23.45,172,1,98.16,0
CALL0000895,2050,10,888,111.7,7,10.64,7,43.19,36.57,22.13,202,4,61.61,0
CALL0000399,1212,19,98,82.2,19,22.72,7,25.74,20.84,41.6,225,2,94.68,0
CALL0000324,1983,31,442,199.4,13,25.14,4,42.16,19.53,27.53,132,5,62.11,0
CALL0000520,1039,25,778,436.7,15,28.2,7,29.52,34.15,18.55,7,0,69.32,0
CALL0000917,2678,41,724,505.4,15,1.1,7,24.47,26.05,35.28,293,7,74.33,0
CALL0000923,1501,39,544,171.3,11,14.88,2,12.12,23.89,12.47,273,4,53.61,0
CALL0000006,72,781,90,8.0,296,94.13,57,44.59,83.2,53.85,934,22,14.58,1
CALL0000732,3511,42,648,147.0,6,4.78,5,43.67,5.01,48.48,180,5,95.68,0
CALL0000466,923,13,559,540.0,2,12.06,0,24.55,40.29,11.58,270,1,91.46,0
CALL0000098,74,353,117,29.3,352,45.82,71,74.72,53.88,57.52,616,30,41.02,1
CALL0000267,728,49,347,90.7,15,15.87,3,34.92,22.25,42.85,72,2,90.37,0
CALL0000358,2801,24,205,537.7,6,13.72,3,40.07,36.22,34.06,269,7,62.62,0
CALL0000869,2029,38,728,137.5,13,10.34,0,12.53,19.88,49.29,258,1,90.95,0
CALL0000799,3582,12,415,489.7,19,22.1,5,31.91,22.9,26.59,54,4,66.5,0
CALL0000381,887,26,72,161.0,7,27.98,7,16.46,5.77,23.82,108,1,88.79,0
CALL0000632,605,49,46,598.7,7,4.27,4,25.51,29.28,43.68,104,5,57.39,0
CALL0000382,812,18,406,69.8,13,17.31,1,14.36,42.57,18.24,165,2,97.76,0
CALL0000491,2029,6,67,237.2,2,14.31,1,30.79,36.58,7.02,111,1,80.64,0
CALL0000119,60,609,103,28.8,288,68.99,86,70.58,72.29,88.01,903,13,5.11,1
CALL0000901,2369,32,810,395.7,19,18.89,4,35.23,28.94,16.57,95,4,84.63,0
CALL0000251,2737,10,367,115.6,12,12.97,4,3.77,9.45,1.14,282,0,90.91,0
CALL0000524,2246,17,596,396.0,13,5.46,1,34.62,6.41,10.77,214,6,87.02,0
CALL0000010,83,895,9,81.6,182,83.1,86,46.08,35.15,66.48,266,38,16.25,1
CALL0000197,15,785,74,59.4,55,40.77,58,89.57,75.0,55.16,581,24,13.73,1
CALL0000604,1527,44,613,159.3,16,16.36,2,10.93,24.37,21.09,56,7,94.59,0
CALL0000082,36,650,52,77.9,105,40.47,95,83.2,76.95,58.77,769,11,39.96,1
CALL0000784,2701,41,499,581.9,12,26.05,2,31.79,26.63,9.07,224,1,81.06,0
CALL0000588,894,26,703,579.5,12,0.52,7,31.19,20.53,15.26,239,4,58.83,0
CALL0000798,2056,35,266,260.8,11,3.46,5,46.19,8.57,14.17,242,3,75.58,0
CALL0000240,570,13,244,684.0,11,24.49,6,12.3,15.62,11.76,211,6,69.36,0
CALL0000291,770,9,324,322.1,16,15.63,0,5.65,21.97,0.78,128,6,86.72,0
CALL0000212,1664,15,360,429.1,4,14.31,1,3.85,9.03,25.24,255,2,68.78,0
CALL0000718,1106,29,880,104.3,5,9.95,3,35.22,30.07,25.54,287,6,94.35,0
CALL0000360,667,22,686,347.9,5,22.76,2,35.98,31.2,5.78,28,0,50.75,0
CALL0000450,2554,39,882,658.1,19,26.1,0,28.65,17.3,34.71,165,5,68.24,0
